vertex_index,distance,angle,elev,x,y,Velocity,relief
203,668.88123242540792,347.96017479601824,4600.141,-1484165.031,785102.805,153.315,29.641
204,672.04231985507693,2.47929284181181,4599.419,-1484165.645,785105.906,153.315,29.545
205,676.19488352626172,11.82339170670224,4599.437,-1484164.489,785109.894,153.315,27.918
206,680.66141635486395,2.37744964571183,4600.906,-1484163.908,785114.323,153.315,27.298
207,683.75297059306649,357.27110951959872,4600.906,-1484164.055,785117.411,153.315,27.298
208,686.84452483137431,354.48521681285234,4600.906,-1484164.202,785120.499,153.315,27.298
209,691.77590753513573,343.94193070628984,4599.726,-1484164.914,785125.378,153.315,28.928
210,694.77116167344900,341.48421711126048,4599.726,-1484166.123,785128.119,153.315,28.928
211,698.07388676268340,344.23828994313891,4600.250,-1484166.879,785131.334,153.315,28.681
212,702.60666879868700,337.68494622298095,4600.250,-1484168.302,785135.637,153.315,28.681
213,707.29018605856527,330.00909640539646,4600.968,-1484170.379,785139.835,153.315,28.159
214,710.04843763933013,335.46970071687292,4600.968,-1484171.908,785142.131,153.315,28.159
215,715.01688936482424,348.23791903273423,4600.539,-1484173.227,785146.921,153.315,29.941
216,717.76418163526478,351.87741996899075,4600.539,-1484173.616,785149.641,153.315,29.941
217,720.51147390570532,352.30802736089299,4600.539,-1484174.004,785152.360,153.315,29.941
218,723.61318844625157,352.73863475492851,4600.421,-1484174.396,785155.437,153.315,29.558
219,726.71490298676827,351.16293119063522,4600.421,-1484174.788,785158.514,153.315,29.558
220,729.23389768225468,349.58722762444785,4600.421,-1484175.243,785160.992,153.315,29.558
221,731.75289237785557,336.30587744694981,4600.421,-1484175.698,785163.469,153.315,29.558
222,735.80005712638410,306.41524907402675,4600.133,-1484178.133,785166.702,153.315,29.066
223,740.78738602626515,294.50315429508953,4602.035,-1484182.825,785168.392,153.315,30.858
224,744.94743758806749,303.08525121596119,4602.035,-1484186.456,785170.422,153.315,30.858
225,747.67355788867997,306.97016471960688,4601.564,-1484188.634,785172.061,153.315,30.015
226,750.39967818922253,294.98127494934039,4603.646,-1484190.812,785173.701,153.315,31.067
227,752.56528188455457,310.98538387693259,4603.646,-1484192.923,785174.188,153.315,31.067
228,755.77994875460683,338.97838257418607,4603.646,-1484194.076,785177.188,153.315,31.067
229,758.99461562476768,346.18311793430837,4603.148,-1484195.229,785180.189,153.315,31.067
230,762.05491964122348,353.38785329418403,4603.148,-1484195.581,785183.229,153.315,31.067
231,765.11522365779524,349.05278275238049,4603.148,-1484195.934,785186.269,153.315,31.067
232,767.82085229351776,344.71771221012659,4602.287,-1484196.647,785188.879,153.315,30.495
233,770.52648092912796,339.30208015440746,4602.287,-1484197.360,785191.489,153.315,30.495
234,775.15313408681538,330.33814344490054,4604.244,-1484199.396,785195.643,153.315,31.207
235,778.23531065629334,326.78983878956990,4603.191,-1484201.085,785198.222,153.315,31.055
236,781.31748722599605,324.92793489386418,4603.191,-1484202.773,785200.801,153.315,31.055
237,784.46886986762740,325.51843902171805,4603.191,-1484204.666,785203.320,153.315,31.055
238,787.33694334294159,327.97084704344286,4604.374,-1484206.187,785205.751,154.654,31.414
239,790.20501681815711,331.86517894241035,4604.374,-1484207.709,785208.183,154.654,31.414
240,793.78384586001459,332.26913653477550,4604.374,-1484209.178,785211.446,154.654,31.414
241,796.77864155497855,339.75142686937829,4603.507,-1484210.730,785214.007,154.654,31.306
242,799.35047211809285,21.71540983135849,4603.507,-1484211.145,785216.545,154.654,31.306
243,802.38256963467995,52.63996855368676,4603.507,-1484208.733,785218.382,154.654,31.306
244,806.01864740620738,31.95530110606787,4601.617,-1484205.845,785220.592,154.654,30.336
245,808.33434016417823,355.18293773697707,4601.208,-1484205.390,785222.863,154.654,29.686
246,813.06130406371676,341.51925729437420,4602.737,-1484207.082,785227.277,154.654,31.008
247,816.48059111503187,344.01003237134205,4602.197,-1484208.024,785230.564,154.654,30.509
248,819.89987816645908,341.24094068716431,4602.197,-1484208.965,785233.851,154.654,30.509
249,823.64875302028702,338.47184900271776,4602.197,-1484210.341,785237.338,154.654,30.509
250,827.39762787411507,341.45086477119543,4601.530,-1484211.717,785240.825,154.654,29.889
251,831.06618155974468,342.20404386033408,4601.530,-1484212.702,785244.359,154.654,29.889
